用例ID,关联需求,测试场景,前置条件,步骤描述,输入,期望输出,优先级
TC-080,,跟进记录-新增-取消操作,用户已登录系统，弹出新增跟进记录弹窗,"1.在弹窗中填写部分信息
2.点击""取消""按钮",1.跟进内容：这是测试内容,"1.输入成功
2.弹窗关闭，不保存数据",P1
TC-081,R012,跟进记录-编辑跟进记录,用户已登录系统，跟进记录列表页存在跟进记录,"1.在跟进记录列表中，点击某记录的「编辑」按钮
2.修改跟进内容
3.点击""保存""按钮",2.跟进内容：修改后的跟进内容,"1.弹出编辑跟进记录弹窗
2.输入成功
3.保存成功，弹窗关闭，记录已更新",P0
TC-082,R012,跟进记录-删除后不可见（不可删除）,用户已登录系统，跟进记录列表页存在跟进记录,"1.在跟进记录列表中，查看操作列
2.尝试右键删除或删除按钮",,"1.只有「编辑」按钮，没有「删除」按钮
2.系统不支持删除跟进记录",P0
TC-083,,商机管理-列表页面展示,用户已登录系统（admin/admin）,"1.在顶部导航菜单中，点击""商机管理""模块",,1.进入商机管理列表页面，展示商机列表及操作入口,P1
TC-084,,商机管理-工具栏按钮,用户已登录系统，进入商机管理列表页,1.在商机管理列表页面，查看工具栏,,1.工具栏包含：新增商机按钮、导入按钮、导出按钮、筛选按钮,P1
TC-085,,商机管理-新增商机入口,用户已登录系统，进入商机管理列表页,1.在工具栏中，点击「新增商机」按钮,,1.弹出新增/编辑商机弹窗,P0
TC-086,,商机管理-新增商机-商机名称必填,用户已登录系统，弹出新增商机弹窗,"1.在新增商机弹窗中，商机构名称留空，填写其他必填字段
2.点击""保存""按钮",1.商机名称：（空）,"1.商机名称字段高亮提示""商机名称不能为空""
2.提示""商机名称不能为空""，保存失败",P0
TC-087,,商机管理-新增商机-关联客户必填,用户已登录系统，弹出新增商机弹窗,"1.在新增商机弹窗中，关联客户下拉留空
2.点击""保存""按钮",1.关联客户：（空）,"1.关联客户字段高亮提示""请选择关联客户""
2.提示""关联客户不能为空""，保存失败",P0
TC-088,,商机管理-新增商机-预估金额格式验证,用户已登录系统，弹出新增商机弹窗,"1.在预估金额输入框中，输入非数字内容
2.在预估金额输入框中，输入负数
3.在预估金额输入框中，输入正确金额","1.预估金额：abc
2.预估金额：-1000
3.预估金额：50000","1.输入被拒绝或提示""请输入有效金额""
2.提示""预估金额不能为负数""
3.输入成功",P0
TC-089,,商机管理-新增商机-商机阶段必填,用户已登录系统，弹出新增商机弹窗,"1.在新增商机弹窗中，商机组阶段下拉留空
2.点击""保存""按钮",1.商机阶段：（空）,"1.商机阶段字段高亮提示""请选择商机阶段""
2.提示""商机阶段不能为空""，保存失败",P0
TC-090,,商机管理-新增商机-预计成交日期格式验证,用户已登录系统，弹出新增商机弹窗,"1.在预计成交日期选择器中，选择过去日期
2.点击""保存""按钮",1.预计成交日期：2020-01-01,"1.日期选择成功
2.提示""预计成交日期不能早于当前日期""",P1
TC-091,,商机管理-新增商机-保存成功,用户已登录系统，弹出新增商机弹窗,"1.填写商机名称
2.选择关联客户
3.输入预估金额
4.选择商机阶段
5.选择预计成交日期
6.点击""保存""按钮","1.商机名称：测试商机A
2.关联客户：测试客户A
3.预估金额：100000
4.商机阶段：需求调研
5.预计成交日期：2025-12-31","1.输入成功
2.已选择""测试客户A""
3.输入成功
4.已选择""需求调研""
5.日期选择成功
6.保存成功，弹窗关闭，商机组列表新增一条记录",P0
TC-092,,商机管理-编辑商机信息,用户已登录系统，商机管理列表页存在商机数据,"1.在商机列表中，点击某商机的「编辑」按钮
2.修改预估金额
3.点击""保存""按钮",2.预估金额：200000,"1.弹出编辑商机弹窗
2.输入成功
3.保存成功，弹窗关闭，商机列表中预估金额已更新",P0
TC-093,,商机管理-商机阶段推进（只能向前）,"用户已登录系统，存在商机阶段为""需求调研""的商机","1.在商机列表中，点击某商机的「编辑」按钮
2.将商机阶段从""需求调研""修改为""方案制定""
3.点击""保存""按钮",2.商机阶段：方案制定,"1.弹出编辑商机弹窗
2.已选择""方案制定""
3.保存成功",P0
TC-094,,商机管理-商机阶段不能回退,"用户已登录系统，存在商机阶段为""方案制定""的商机","1.在商机列表中，点击某商机的「编辑」按钮
2.尝试将商机阶段从""方案制定""修改为""需求调研""（回退）
3.点击""保存""按钮",2.商机阶段：需求调研,"1.弹出编辑商机弹窗
2.提示""商机阶段不能回退，只能向前推进""或阶段下拉禁用已选阶段之前的选项
3.保存失败或商机阶段保持为""方案制定""",P0
TC-095,,商机管理-删除商机需二次确认,用户已登录系统，商机管理列表页存在商机数据,"1.在商机列表中，点击某商机的「删除」按钮
2.点击""取消""
3.再次点击「删除」按钮，点击""确认""",,"1.弹出确认提示""确定要删除该商机吗？""
2.删除取消，商机数据保留
3.删除成功，商机从列表中移除",P0
TC-096,,商机管理-商机转化率统计展示,用户已登录系统，存在多个不同阶段的商机,1.在商机管理页面，查看商机转化率统计区域,,1.展示各阶段商机数量及转化率漏斗图,P1
TC-097,,商机管理-关键词搜索,用户已登录系统，商机管理列表页存在多条商机数据,"1.在搜索框中，输入商机名称关键词
2.按回车或点击搜索按钮",1.关键词：测试,"1.搜索结果实时更新
2.列表显示匹配""测试""的商机记录",P1
TC-098,,商机管理-高级筛选-商机阶段,用户已登录系统，商机管理列表页存在多条商机数据,"1.点击""筛选""按钮，展开高级筛选
2.在商机阶段下拉中选择""需求调研""
3.点击""应用""按钮",2.商机阶段：需求调研,"1.高级筛选区域展开
2.已选择""需求调研""
3.列表显示商机阶段为""需求调研""的商机记录",P1
TC-099,,合同管理-列表页面展示,用户已登录系统（admin/admin）,"1.在顶部导航菜单中，点击""合同管理""模块",,1.进入合同管理列表页面，展示合同列表及操作入口,P1
TC-100,,合同管理-工具栏按钮,用户已登录系统，进入合同管理列表页,1.在合同管理列表页面，查看工具栏,,1.工具栏包含：新增合同按钮、导入按钮、导出按钮、筛选按钮,P1
TC-101,,合同管理-新增合同入口,用户已登录系统，进入合同管理列表页,1.在工具栏中，点击「新增合同」按钮,,1.弹出新增/编辑合同弹窗,P0
TC-102,,合同管理-新增合同-合同名称必填,用户已登录系统，弹出新增合同弹窗,"1.在新增合同弹窗中，合同名称留空，填写其他必填字段
2.点击""保存""按钮",1.合同名称：（空）,"1.合同名称字段高亮提示""合同名称不能为空""
2.提示""合同名称不能为空""，保存失败",P0
